iter	Passed	Remaining
0	26	26515
1	52	26336
2	82	27350
3	110	27511
4	136	27239
5	165	27376
6	196	27805
7	222	27564
8	251	27656
9	280	27727
10	315	28337
11	347	28637
12	381	28927
13	415	29271
14	448	29448
15	488	30030
16	526	30468
17	565	30861
18	603	31142
19	639	31322
20	679	31673
21	716	31869
22	753	32025
23	792	32244
24	827	32284
25	865	32418
26	905	32625
27	939	32601
28	974	32618
29	1008	32617
30	1044	32657
31	1081	32710
32	1114	32659
33	1144	32516
34	1175	32411
35	1204	32256
36	1236	32169
37	1263	31990
38	1299	32029
39	1330	31923
40	1358	31781
41	1389	31690
42	1420	31608
43	1452	31565
44	1480	31428
45	1514	31406
46	1546	31363
47	1584	31426
48	1622	31486
49	1656	31473
50	1684	31339
51	1716	31296
52	1749	31264
53	1782	31223
54	1815	31192
55	1850	31191
56	1882	31137
57	1916	31124
58	1952	31137
59	1987	31144
60	2025	31176
61	2064	31238
62	2098	31210
63	2132	31188
64	2170	31226
65	2210	31282
66	2250	31344
67	2292	31415
68	2326	31396
69	2360	31358
70	2396	31359
71	2434	31374
72	2468	31341
73	2505	31356
74	2540	31336
75	2574	31299
76	2608	31264
77	2643	31251
78	2685	31312
79	2728	31372
80	2758	31299
81	2791	31251
82	2827	31238
83	2864	31233
84	2896	31181
85	2931	31160
86	2967	31139
87	2997	31066
88	3029	31009
89	3065	30991
90	3098	30949
91	3133	30923
92	3166	30880
93	3194	30792
94	3228	30760
95	3267	30764
96	3297	30699
97	3332	30670
98	3370	30675
99	3406	30658
100	3441	30630
101	3475	30602
102	3506	30535
103	3537	30474
104	3571	30444
105	3605	30411
106	3639	30373
107	3673	30343
108	3707	30308
109	3740	30266
110	3776	30248
111	3813	30237
112	3848	30210
113	3884	30189
114	3919	30165
115	3953	30129
116	3989	30106
117	4026	30094
118	4061	30067
119	4102	30085
120	4134	30036
121	4168	30000
122	4204	29975
123	4235	29920
124	4266	29864
125	4302	29842
126	4338	29822
127	4369	29764
128	4400	29710
129	4432	29664
130	4463	29609
131	4492	29542
132	4525	29500
133	4556	29448
134	4585	29384
135	4618	29339
136	4653	29312
137	4684	29264
138	4716	29213
139	4746	29156
140	4780	29122
141	4810	29065
142	4844	29032
143	4880	29010
144	4910	28954
145	4945	28925
146	4979	28892
147	5009	28838
148	5043	28806
149	5076	28767
150	5105	28705
151	5134	28647
152	5167	28607
153	5204	28590
154	5237	28553
155	5273	28529
156	5306	28491
157	5337	28446
158	5371	28412
159	5407	28389
160	5443	28368
161	5479	28344
162	5516	28325
163	5549	28289
164	5583	28255
165	5619	28234
166	5655	28208
167	5688	28171
168	5724	28148
169	5758	28115
170	5793	28088
171	5831	28073
172	5864	28032
173	5898	27999
174	5930	27960
175	5968	27941
176	6002	27911
177	6035	27871
178	6070	27840
179	6099	27788
180	6133	27752
181	6167	27720
182	6200	27680
183	6236	27655
184	6271	27626
185	6303	27584
186	6336	27546
187	6371	27520
188	6400	27464
189	6433	27425
190	6470	27406
191	6501	27360
192	6535	27328
193	6572	27306
194	6609	27286
195	6643	27252
196	6677	27216
197	6712	27190
198	6750	27173
199	6789	27156
200	6829	27147
201	6865	27120
202	6901	27096
203	6936	27067
204	6975	27050
205	7010	27021
206	7048	27000
207	7085	26977
208	7121	26953
209	7154	26913
210	7188	26878
211	7222	26846
212	7256	26811
213	7295	26796
214	7335	26784
215	7371	26757
216	7403	26715
217	7438	26683
218	7474	26656
219	7511	26631
220	7546	26601
221	7583	26575
222	7619	26548
223	7658	26532
224	7698	26516
225	7737	26497
226	7776	26481
227	7811	26447
228	7845	26413
229	7884	26396
230	7916	26353
231	7954	26331
232	7991	26306
233	8031	26291
234	8069	26269
235	8106	26243
236	8140	26208
237	8176	26177
238	8213	26151
239	8247	26116
240	8278	26073
241	8313	26038
242	8352	26021
243	8385	25980
244	8420	25947
245	8462	25938
246	8496	25903
247	8530	25865
248	8564	25832
249	8593	25781
250	8633	25762
251	8668	25731
252	8706	25706
253	8745	25686
254	8784	25665
255	8820	25634
256	8856	25604
257	8889	25565
258	8925	25537
259	8960	25502
260	8990	25456
261	9024	25420
262	9062	25396
263	9100	25371
264	9136	25339
265	9170	25305
266	9205	25271
267	9242	25245
268	9276	25207
269	9306	25162
270	9336	25115
271	9365	25066
272	9400	25034
273	9437	25005
274	9473	24976
275	9507	24940
276	9540	24900
277	9571	24857
278	9604	24820
279	9636	24778
280	9666	24734
281	9698	24693
282	9729	24649
283	9756	24596
284	9785	24550
285	9822	24522
286	9855	24483
287	9889	24447
288	9922	24412
289	9957	24378
290	9987	24332
291	10019	24294
292	10056	24265
293	10085	24218
294	10117	24179
295	10151	24143
296	10180	24096
297	10209	24051
298	10243	24015
299	10275	23975
300	10305	23932
301	10338	23895
302	10369	23854
303	10398	23807
304	10427	23761
305	10461	23725
306	10491	23683
307	10521	23639
308	10555	23603
309	10584	23558
310	10612	23511
311	10643	23470
312	10674	23429
313	10707	23392
314	10742	23360
315	10781	23338
316	10821	23315
317	10861	23293
318	10897	23264
319	10930	23227
320	10963	23191
321	11001	23164
322	11033	23125
323	11065	23086
324	11099	23052
325	11130	23012
326	11160	22968
327	11192	22930
328	11225	22893
329	11258	22857
330	11294	22826
331	11333	22802
332	11364	22763
333	11392	22716
334	11421	22673
335	11456	22639
336	11490	22605
337	11523	22570
338	11557	22535
339	11592	22503
340	11630	22477
341	11666	22445
342	11699	22409
343	11730	22369
344	11767	22341
345	11800	22305
346	11833	22269
347	11869	22237
348	11906	22209
349	11937	22169
350	11971	22134
351	12005	22101
352	12037	22062
353	12071	22028
354	12106	21996
355	12141	21963
356	12179	21936
357	12215	21906
358	12247	21868
359	12281	21832
360	12319	21806
361	12351	21768
362	12388	21739
363	12421	21703
364	12454	21666
365	12485	21627
366	12520	21594
367	12550	21554
368	12581	21515
369	12617	21484
370	12649	21445
371	12681	21408
372	12714	21372
373	12753	21346
374	12788	21314
375	12830	21292
376	12868	21265
377	12903	21233
378	12937	21199
379	12971	21163
380	13000	21121
381	13032	21083
382	13070	21055
383	13107	21025
384	13142	20993
385	13176	20960
386	13209	20923
387	13243	20889
388	13277	20854
389	13309	20817
390	13341	20779
391	13376	20747
392	13409	20712
393	13442	20675
394	13473	20636
395	13503	20595
396	13531	20553
397	13566	20520
398	13605	20493
399	13639	20459
400	13670	20421
401	13708	20392
402	13739	20353
403	13772	20317
404	13806	20283
405	13843	20253
406	13877	20219
407	13914	20190
408	13950	20158
409	13982	20121
410	14020	20092
411	14069	20079
412	14125	20076
413	14160	20043
414	14192	20006
415	14226	19972
416	14258	19934
417	14290	19897
418	14326	19865
419	14361	19833
420	14395	19797
421	14426	19759
422	14461	19727
423	14495	19692
424	14529	19657
425	14565	19626
426	14598	19589
427	14629	19552
428	14666	19521
429	14700	19486
430	14731	19447
431	14762	19409
432	14793	19371
433	14831	19342
434	14865	19308
435	14899	19273
436	14930	19235
437	14962	19198
438	15000	19169
439	15035	19136
440	15068	19100
441	15103	19067
442	15137	19032
443	15168	18994
444	15205	18964
445	15241	18932
446	15272	18894
447	15306	18859
448	15342	18827
449	15376	18793
450	15412	18761
451	15449	18730
452	15482	18695
453	15512	18656
454	15548	18624
455	15582	18589
456	15616	18555
457	15656	18528
458	15689	18492
459	15722	18456
460	15761	18428
461	15794	18392
462	15831	18361
463	15865	18327
464	15899	18293
465	15930	18254
466	15962	18217
467	16002	18191
468	16035	18155
469	16071	18122
470	16108	18092
471	16141	18056
472	16180	18027
473	16217	17996
474	16251	17961
475	16288	17930
476	16322	17896
477	16351	17856
478	16384	17821
479	16421	17789
480	16455	17755
481	16498	17730
482	16538	17703
483	16573	17669
484	16611	17638
485	16648	17607
486	16683	17574
487	16718	17541
488	16754	17508
489	16790	17475
490	16828	17445
491	16863	17411
492	16898	17378
493	16936	17347
494	16970	17313
495	17001	17276
496	17033	17238
497	17070	17207
498	17104	17172
499	17141	17141
500	17177	17108
501	17211	17074
502	17247	17041
503	17285	17011
504	17320	16977
505	17356	16945
506	17395	16914
507	17426	16877
508	17459	16842
509	17498	16812
510	17529	16775
511	17561	16738
512	17595	16703
513	17629	16669
514	17668	16639
515	17707	16609
516	17738	16571
517	17770	16535
518	17808	16504
519	17841	16469
520	17879	16437
521	17914	16404
522	17951	16372
523	17988	16340
524	18028	16311
525	18058	16273
526	18091	16237
527	18128	16206
528	18162	16170
529	18202	16141
530	18239	16110
531	18271	16073
532	18308	16041
533	18343	16007
534	18378	15974
535	18413	15939
536	18449	15906
537	18482	15871
538	18514	15835
539	18546	15799
540	18582	15766
541	18617	15731
542	18655	15700
543	18693	15669
544	18727	15634
545	18763	15601
546	18799	15568
547	18831	15532
548	18870	15501
549	18906	15468
550	18938	15432
551	18966	15393
552	19003	15360
553	19040	15328
554	19074	15294
555	19109	15260
556	19147	15228
557	19182	15194
558	19221	15164
559	19253	15127
560	19286	15092
561	19321	15058
562	19355	15023
563	19392	14991
564	19427	14957
565	19462	14923
566	19496	14889
567	19532	14855
